subject,writer,view,file,comment,id,date
1290,SW중심대학사업단 2021-동계 실습조교 신청 안내,컴퓨터공학전공,2021.11.25,0,125,
1289,[IPP사업단] 22년도 일학습병행제 및 신입사원 추천,컴퓨터공학전공,2021.11.19,0,230,
1288,2021 컴공 Open Lab Fair 소개 자료 공유,컴퓨터공학전공,2021.11.19,0,230,
1287,(주)가천헬스케어텍 채용정보,컴퓨터공학전공,2021.11.17,0,110,
1286,2021-2 컴퓨터공학과 졸업작품 심사 결과,컴퓨터공학전공,2021.11.16,0,495,
1285,2021학년도 재학생 교육만족도 조사,컴퓨터공학전공,2021.11.16,0,83,
1284,마이크로소프트와 함께 하는 온라인 잡 페어(Job Fair) 3,컴퓨터공학전공,2021.11.15,0,169,
1283,외국어능력 졸업인증 인정 공인시험 추가,컴퓨터공학전공,2021.11.15,0,131,
1282,2021-동계 외국어능력 졸업인증 대체프로그램 시행안내,컴퓨터공학전공,2021.11.12,0,108,
1281,2022-1학기 조기졸업 신청 안내,컴퓨터공학전공,2021.11.12,0,100,
1280,2021 컴퓨터공학과 연구실 소개자료,컴퓨터공학전공,2021.11.11,0,189,
1279,2021 Winter Season Semester Course Enrollment,컴퓨터공학전공,2021.11.10,0,91,
1278,제9회 학생융합캠프 참여 안내,컴퓨터공학전공,2021.11.09,0,94,
1277,2021학년도 동계계절학기 수강신청 안내,컴퓨터공학전공,2021.11.09,0,161,
1276,(주)카카오 엔터프라이즈에서 인턴사원 모집,컴퓨터공학전공,2021.11.04,0,355,
1275,2022-1학기 부전공·복수전공 신청 안내,컴퓨터공학전공,2021.11.03,0,154,
1274,2022-1학기 융합(연계)전공 신청 안내,컴퓨터공학전공,2021.11.03,0,191,
1273,2021 컴퓨터공학과 Open Lab Fair 행사 안내,컴퓨터공학전공,2021.11.01,0,300,
1272,2021-2학기 졸업작품 팀별 발표시간 안내(11.09수정),컴퓨터공학전공,2021.11.01,0,722,
1271,2021-2학기 컴퓨터공학과 졸업작품 심사요령 안내(수정),컴퓨터공학전공,2021.11.01,0,557,
1270,창의 NTree 안내사항,컴퓨터공학전공,2021.11.01,0,95,
1269,(중요)컴퓨터공학과 교과과정 개편 설문조사,컴퓨터공학전공,2021.10.27,0,145,
1268,[Must-Read] Additional Application for Graduation,컴퓨터공학전공,2021.10.25,0,71,
1267,Pre-Enrollment for 2021 Winter Season Semester Cou,컴퓨터공학전공,2021.10.25,0,39,
1266,[Must-read-only foreign students] Information on,컴퓨터공학전공,2021.10.22,0,90,
1265,2021 재학생 가천핵심역량 진단,컴퓨터공학전공,2021.10.21,0,53,
1264,[필독] 2021 -2학기 컴공 졸업 자격 취득을 위한 졸업작품 추가 신청 안내,컴퓨터공학전공,2021.10.20,0,421,
1263,2021학년도 동계 계절학기 예비수강신청 및 일정 안내,컴퓨터공학전공,2021.10.19,0,97,
1262,[솔트룩스] SBA 새싹(SeSAC) SW 교육과정 안내,컴퓨터공학전공,2021.10.19,0,71,
1261,[Must-Read] Application for Evaluation of Graduati,컴퓨터공학전공,2021.10.18,0,39,
1260,[필독] 2021 2학기 노트북지원금 추가 신청 안내,컴퓨터공학전공,2021.10.18,0,251,
1259,2022학년도 대학원 신(편)입생 모집안내 및 진학설명회 동영상,컴퓨터공학전공,2021.10.14,0,108,
1258,[필독] 2021 -2학기 컴공 졸업 자격 취득을 위한 졸업작품 신청 안내,컴퓨터공학전공,2021.10.13,0,271,
1257,채용확정형 '유라클' SW개발자 양성과정 교육생 모집 안내,컴퓨터공학전공,2021.10.12,0,98,
1256,2021-2nd Semester Class Satisfaction Measurement (,컴퓨터공학전공,2021.10.08,0,42,
1255,[Must-Read] 2021-2nd Semester Application for Pers,컴퓨터공학전공,2021.10.08,0,66,
1254,2021-전기 졸업대상자 제2전공(부/복수) 자격신청서 제출 안내,컴퓨터공학전공,2021.10.07,0,115,
1253,드림시큐리티-비트컴퓨터 취업확정형 교육연계 훈련생 모집,컴퓨터공학전공,2021.10.07,0,54,
